TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:17:03.9799600,4808,10
2023-11-16 18:17:04.0319600,3180,8
2023-11-16 18:17:04.0781490,110,27
2023-11-16 18:17:04.1206440,7433,14
2023-11-16 18:17:04.4249540,34,12
2023-11-16 18:17:04.5191470,374,14
2023-11-16 18:17:04.6785310,6985,9
2023-11-16 18:17:04.9960010,34,23
2023-11-16 18:17:05.2792720,1145,7
2023-11-16 18:17:05.2792970,201,24
2023-11-16 18:17:05.3788820,137,9
2023-11-16 18:17:05.3790470,7427,8
2023-11-16 18:17:33.4590290,1555,19
2023-11-16 18:17:33.5603670,3893,19
2023-11-16 18:17:33.5902850,1827,10
2023-11-16 18:17:33.6591130,394,17
2023-11-16 18:17:33.6974480,675,6
2023-11-16 18:17:34.1578290,7436,9
2023-11-16 18:17:34.2056910,158,26
2023-11-16 18:17:34.4626860,6587,18
2023-11-16 18:17:34.4834190,763,8
2023-11-16 18:17:34.9636150,1556,18
2023-11-16 18:17:35.2653760,5108,12
2023-11-16 18:17:35.4346470,159,127
2023-11-16 18:17:35.4349770,458,67
2023-11-16 18:17:35.6199820,2464,30
2023-11-16 18:17:35.7870820,4009,51
2023-11-16 18:17:36.6073420,1632,9
2023-11-16 18:17:36.6879210,2567,45
2023-11-16 18:17:37.0599550,730,36
2023-11-16 18:17:37.3200350,5108,10
2023-11-16 18:17:37.5140380,2569,7
2023-11-16 18:17:37.5592100,1832,7
2023-11-16 18:17:37.5666080,1630,9
2023-11-16 18:17:37.6596680,6587,13
2023-11-16 18:17:37.6614270,7436,6
2023-11-16 18:17:37.7609680,1044,16
2023-11-16 18:17:37.8600230,327,124
2023-11-16 18:17:37.9629950,1630,9
2023-11-16 18:17:38.2643990,3351,9
2023-11-16 18:17:38.4258680,1562,18
2023-11-16 18:17:38.8589320,3724,9
2023-11-16 18:17:38.9591490,328,43
2023-11-16 18:17:39.0140830,965,8
2023-11-16 18:17:39.3271100,6586,11
2023-11-16 18:17:39.3344600,2366,7
2023-11-16 18:17:39.7793180,328,40
2023-11-16 18:17:39.9609510,1513,29
2023-11-16 18:17:40.2604470,328,9
